,title,company,description,location,state,salary,jobtype,skill,degree
836,Data Analyst,,"
            Remote job for candidate who will prepare executive quarterly and monthly   BACHELOR  ness reviews, perform ad-hoc <b>data</b> analysis for   BACHELOR  ness units and identify and execute opportunities for sales performance improvements. BA/BS degree and 3 years sales exp. req.
        ",US National,US National,,100% Remote Job,,BACHELOR
837,Data Analyst,,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ","Phoenix, AZ, Carlsbad, CA, Denver, CO, Chicago, IL, Boston, MA, Bridgewater, NJ, Charlotte, NC, Philadelphia, PA, Dallas, TX, Seattle, WA, Washington, DC","CA,CO,MA,NJ,NC,PA,WA,IL,DC,TX,AZ",,100% Remote Job,,
838,Data Analyst,,"
            Full-time position with partial remote work and travel. Will collaborate with team, design systems, define strategies and oversee projects.   BACHELOR  's degree and 5+ years' related experience required.
        ","WA, NJ, FL","NJ,WA,FL",,Partial Remote Job,,BACHELOR
839,Data Analyst,,"
            Partial remote position will marshal internal resources, identify opportunities in workflows, increase customer retention, develop value-added services at customer sites, and support commercialization of services.  BACHELOR  degree required and four years of exp.
        ",FL,FL,,Partial Remote Job,,BACHELOR
840,Data Analyst,,"
            Conduct analysis on   BACHELOR  ness intelligence and create digital quality systems that solve problems and meet requirements. Must have a  BACHELOR  and 5 years of relevant experience including VISUALIZATION development and metric management. Remote with some travel.
        ",US National,US National,,Partial Remote Job,VISUALIZATION,BACHELOR
841,Data Analyst,,"
            Bioinformatics analyst needed for a full-time opportunity. This position offers the option to work remotely.   BACHELOR  's degree or higher in a related field, experience shipping code to production environment, and strong coding skills required.
        ","New York, NY",NY,,Option for Remote Job,,BACHELOR
842,Data Analyst,,"
            The VP will establish the analytics vision &amp; strategy, create the methodology for <b>data</b> <  BACHELOR  ience</b> projects, &amp; manage staff. Requires a   PHD   &amp; at least a decade of enterprise support development experience. This remote role requires international travel.
        ","Canada, Mexico, or US National",US National,,Partial Remote Job,,"PHD,BACHELOR"
843,Data Analyst,,"
            Work-at-home position designing, building, and analyzing master <b>data</b> to support   BACHELOR  ness decisions. Handle complex <b>data</b> projects and client expectations. Must have 4 years of full lifecycle MDM experience, a  BACHELOR  in computer <  BACHELOR  ience</b>, and SQL skills.
        ","Canada, Mexico, or US National",US National,,Option for Remote Job,SQL,"BACHELOR,MASTER"
844,Data Analyst,,"
            Full-time position starting out working remotely. Duties include developing &amp; delivering analytics &amp; <b>data</b> <  BACHELOR  ience</b> projects related to product &amp; marketing goals, developing &amp; maintaining VISUALIZATIONs, &amp; delivering relevant information in appropriate formats.
        ","Los Angeles, CA",CA,,Remote - During Pandemic Job,,BACHELOR
845,Data Analyst,,"
            Seeking an analyst for a remote position requiring a computer <  BACHELOR  ience</b> or similarly focused   BACHELOR  's degree, exceptional communication skills, and an understanding of <b>data</b> model creation. Will build and maintain platforms.
        ","Miramar, FL, or US National",FL,,100% Remote Job,,BACHELOR
846,Data Analyst,,"
            Guide a team in the delivery of trusted metrics as well as actionable insights to optimize marketing performance. Must have 10+ years of experience in <b>data</b>/marketing analytics or <b>data</b> <  BACHELOR  ience</b>, strategy, consulting, or an equivalent field. WFH.
        ",US National,US National,,100% Remote Job,,BACHELOR
847,Data Analyst,,"
            The research analyst will perform research on simulation modeling, document use cases, and develop whitepapers and reports. Must have superior writing skills and strong knowledge of <b>data</b> <  BACHELOR  ience</b> tools as well as AI/ML applications and trends. WFH role.
        ",US National,US National,,100% Remote Job,,BACHELOR
848,Data Analyst,,"
            Cloud-  BACHELOR  d security analyst needed for a remote job responsible for coordinating and analyzing <b>data</b>, monitoring improvements, making recommendations, identifying and troubleshooting issues. Computer <  BACHELOR  ience</b> or related BA/BS, two+ years' Sec exp a must.
        ",US National,US National,,100% Remote Job,,BACHELOR
849,Data Analyst,,"
            Remote position for a reimbursement analyst. Will review reimbursement <b>data</b>, prepare PowerPoint reports, compose alerts, monitor regulatory changes and trends, identify problems, and gather <b>data</b> for customer content. Need two years of experience.
        ",US National,US National,,100% Remote Job,,
850,Data Analyst,,"
            Partially remote, full-time position. Duties include creating &amp; executing   BACHELOR  ness strategies, establishing   BACHELOR  ness relationships, and creating technical &amp; engineering activities.   BACHELOR  's degree in computer <  BACHELOR  ience</b> or IT required;  MASTER ' preferred.
        ","Washington, DC, MD","DC,MD",,Partial Remote Job,,"BACHELOR,MASTER"
851,Data Analyst,,"
            Evaluate high-volume <b>data</b> from   BACHELOR  ness processes and practices to support optimization initiatives. Requires SaaS industry knowledge, analytical &amp; <b>data</b> modeling skills, a BA/BS degree, and 8-10+ yrs' experience. Full-time, remote optional role.
        ",US National,US National,,Option for Remote Job,,BACHELOR
852,Data Analyst,,"
            Support NIS cloud teams in administration functions regarding the cloud integration platform. Oversee compliance, repositories, planning, risk mitigation, and delivery. A   BACHELOR   of <  BACHELOR  ience</b> degree and at least a year of experience are required. Remote.
        ","San Francisco, CA, Salt Lake City, UT","CA,UT",,Option for Remote Job,,BACHELOR
853,Data Analyst,,"
            Full-time, remote position. Responsibilities include organizing &amp; analyzing <b>data</b> using SQL, managing medical claims &amp; biometrics <b>data</b> acquisition, monitoring <b>data</b> pipelines, and designing, planning, &amp; executing clinical reports.   BACHELOR  's required.
        ",US National,US National,,100% Remote Job,,BACHELOR
854,Data Analyst,,"
            Generate <b>data</b>-driven reports for marketing campaigns and applications, handle <b>data</b> querying and management, assist clients with understanding information, and actively use Excel and SQL. Work from home opportunity with a pay range of $60,000-$70,000/yr.
        ",US National,US National,,100% Remote Job,,
855,Data Analyst,,"
            Analyze marketing <b>data</b>, build <b>data</b> pipelines and infrastructure design, provide updates to stakeholders, provide forecasts and reporting to teams, and support marketing segmentation and projections. Requires  BACHELOR  &amp; 2 years' analytics experience. WFH role.
        ",US National,US National,,100% Remote Job,,BACHELOR
856,Data Analyst,,"
            Full-time position. Will conduct analyses, provide training, assist with forecasting, work on special projects and compile <b>data</b>.   BACHELOR  's degree and related experience required. Telecommute option.
        ","Jacksonville, FL, or US National",FL,,Option for Remote Job,,BACHELOR
857,Data Analyst,,"
            Telecommuting role for a strategy analyst. Will gather and analyze <b>data</b>, evaluate   BACHELOR  ness challenges, develop and validate hypotheses, drive recommendations, deliver reports and presentations, and manage <b>data</b> extraction. Need BA/BS and three years' exp.
        ",US National,US National,,100% Remote Job,,BACHELOR
858,Data Analyst,,"
            Full-time job, some remote work. Travel. Needs   BACHELOR  's degree and ability to ensure accountability. Work with growth and strategy team members, analyze raw claims <b>data</b>, conduct a variety of benchmarking analysis, and will extract <b>data</b> from Salesforce.
        ",US National,US National,,Option for Remote Job,,BACHELOR
859,Data Analyst,,"
            Remote position will conduct focused research on the <b>data</b> platforms sector, engage in briefings with key vendors, attend events focused on <b>data</b>, write research reports, and contribute to development of surveys. Need five years of experience.
        ","San Francisco, CA, Boston, MA, New York, NY, London, United Kingdom","CA,MA,NY",,Partial Remote Job,,
860,Data Analyst,,"
            A senior analyst is needed to drive <b>data</b> reporting, develop product recommendations, and automate reports. Must have a college degree in the field and five-plus yrs' exp. in <b>data</b> analysis. Flexible hours and excellent benefits.
        ","San Francisco, CA",CA,,Flexible Schedule Job,,
861,Data Analyst,,"
            Virtual role. Manage marketing programs, drive membership and customer growth, generate ideas for new content, support   BACHELOR  ness decision-making, and build <b>data</b> reporting tools. Requires BA, SQL proficiency, and 1 year <b>data</b> analyst experience.
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
862,Data Analyst,,"
            Partially remote role for a director, product analytics. Will analyze <b>data</b>, identify patterns/opportunities, surface insights, inform content development/programming strategies, and develop models/<b>data</b> VISUALIZATIONs. Need a BA/BS and 10 years of exp.
        ",US National,US National,,Partial Remote Job,,
863,Data Analyst,,"
            Full-time, remote position. Responsibilities include assisting product owners in defining the roadmap for a specific   BACHELOR  ness area, defining &amp; owning metrics, and leveraging <b>data</b> to generate insights related to customer experience.   BACHELOR  's required.
        ",US National,US National,,100% Remote Job,,BACHELOR
864,Data Analyst,,"
            Full-time, remote position. Responsibilities include working as part of a team leading a <b>data</b>-driven performance marketing function, running experiments, building VISUALIZATIONs, improving overall marketing effectiveness, and providing analytics.
        ",US National,US National,,100% Remote Job,,
865,Data Analyst,,"
            Remote F/T   BACHELOR  ness intelligence analyst needed to serve as the reporting expert for the applications they support.   BACHELOR  's degree required. A foundational understanding of relational <b>data</b> models or application toolset foundations is preferred.
        ","Duluth, MN",MN,,100% Remote Job,,BACHELOR
866,Data Analyst,,"
            Full-time job, remote option. Travel. Needs a   BACHELOR  's degree and five-seven years' experience in <b>data</b> analytics. Perform management responsibilities such as coaching and development, and will inform decision making related to all marketing channels.
        ","Pittsburgh, PA",PA,,Partial Remote Job,,BACHELOR
867,Data Analyst,,"
            Remote position will monitor key metrics/generate reports, contribute to improved performance of activations, analyze <b>data</b>, and lead forecasting analyses for both patient/physician campaigns.  BACHELOR  degree required and five years of experience.
        ",US National,US National,,Option for Remote Job,,BACHELOR
868,Data Analyst,,"
            Full-time, remote candidate will work with stakeholders to produce impactful insights from the complex <b>data</b> environment, extract insights on the behavior of customers acquired, and identify opportunities for optimization. Must have 4+ years of experience.
        ",US National,US National,,100% Remote Job,,
869,Data Analyst,,"
            100% remote strategic analytics director needed to enable informed decisions, identify risks and opportunities, and achieve financial and strategic objectives.   BACHELOR  's degree in a related field and 7+ years experience in <b>data</b> analytics required.
        ",NY,NY,,100% Remote Job,,BACHELOR
870,Data Analyst,,"
            Digital Marketing Analyst is needed for a remote role. The candidate will analyze <b>data</b> from multiple sources across all digital marketing programs. Must possess strong analytical skills.   BACHELOR  's degree and prior related experience required.
        ",US National,US National,,Option for Remote Job,,BACHELOR
871,Data Analyst,,"
            SEO Research Analyst is needed for a remote role. He/She will dig through publicly available <b>data</b> sets to unearth original stories. Must be familiar with SEO   BACHELOR   practices. At least 3 years' related experience is required.
        ",US National,US National,,Option for Remote Job,,BACHELOR
872,Data Analyst,,"
            Full-time job, remote option. Needs a   BACHELOR  's degree and one-three years' experience in BI role. Ask and answer insightful questions quantitatively, serve as a liaison between <b>Data</b> and Supply chain Analytics, create, automate and maintain reporting.
        ",US National,US National,,Option for Remote Job,,BACHELOR
873,Data Analyst,,"
            Collect, analyze, and manage quantitative <b>data</b> and create meaningful analyses to lead   BACHELOR  ness improvement and cost optimization of a portfolio of delivery stations. Must have a   BACHELOR  's degree and 5 years of experience in finance. WFH contract.
        ",US National,US National,,100% Remote Job,,BACHELOR
874,Data Analyst,,"
            Assist with the consumption of financial <b>data</b>, participate in the development of product areas, attend development syncs and review every software development stage. Option for remote job with occasional travel.
        ",US National,US National,,Option for Remote Job,,
875,Data Analyst,,"
            Full-time, partially remote position. Will analyze inventory activity, prepare journal entries, gather <b>data</b> and conduct inventory counts. Associate's degree and 1+ years' related experience required. Travel.
        ","Wilmington, MA",MA,,Partial Remote Job,,
876,Data Analyst,,"
            Full-time partial remote role will analyze and deliver recommendations, optimize product analytics roadmap, and understand   BACHELOR  ness drivers and performance trends.   BACHELOR  's degree and 5+ years' <b>data</b> analytics experience required.
        ","San Francisco, CA",CA,,Partial Remote Job,,BACHELOR
877,Data Analyst,,"
            Candidate will analyze <b>data</b>, create VISUALIZATIONs, conduct QA, provide actionable reporting, use 3rd party <b>data</b> VISUALIZATION tools, and implement custom marketing VISUALIZATION concepts. BA/BS degree and 2 years' Google Analytics exp. req. Temporary job.
        ","Orlando, FL",FL,,Temporary Job,VISUALIZATION,
878,Data Analyst,,"
            Remote role. Create campaigns and analyze performance <b>data</b> for content insight, create custom reporting for clients, present findings to external audiences, and support audience targeting. Requires online advertising and paid social media experience.
        ",US National,US National,,100% Remote Job,,
879,Data Analyst,,"
            Partial remote position will handle production scheduling, tracking/resource management, customer interaction, manage/interact with multiple operations/systems teams, and quantitative analysis of <b>data</b>.  BACHELOR  degree required and five years of experience.
        ",US National,US National,,Partial Remote Job,,BACHELOR
880,Data Analyst,,"
            Remote position will manage administration, periodic review/cali  BACHELOR  ion to the capital markets of models, generate/analyze pipeline management, analyze <b>data</b> sources, and map elements for reporting.  BACHELOR  degree required and two years of experience.
        ","NY, TX, PA, OH, VA","PA,NY,OH,TX,VA",,100% Remote Job,,BACHELOR
881,Data Analyst,,"
            Remote job for candidate who will partner with operations leaders to develop and maintain a suite of   BACHELOR  ness intelligence VISUALIZATIONs and interpret performance <b>data</b> to help identify root causes. Five to ten years' operations and analytics exp. req.
        ",US National,US National,,100% Remote Job,,BACHELOR
882,Data Analyst,,"
            Lead the collection, evaluation, and reporting of performance <b>data</b> to optimize products and practices. Requires strong data  BACHELOR  /SQL knowledge and 3+ yrs' exp. A   BACHELOR  's degree is preferred. Work from home full-time with benefits.
        ",US National,US National,,100% Remote Job,,BACHELOR
883,Data Analyst,,"
            Remote role for a senior product analyst. Will design/build self-service VISUALIZATIONs, conduct <b>data</b> analysis, help identify experimentation opportunities, and assist with new features, products, experiments, and initiatives. Need BA/BS and four years' exp.
        ",US National,US National,,100% Remote Job,,
884,Data Analyst,,"
            Full-time, flexible schedule.Needs experience in operations and one years' hands on experience with programmatic metrics. Act as the main point of contact for programmatic analytics, develop source <b>data</b>, pull trends, and will monitor revenue performance.
        ",NY,NY,,Flexible Schedule Job,,
885,Data Analyst,,"
            Build a custom script in SQL and PYTHON and handle integrations and edge cases, analyze <b>data</b> from the company software, and design and execute test scenarios and scripts. A   BACHELOR  's degree and 3+ years of experience is needed. Remote position.
        ","Houston, TX",TX,,100% Remote Job,"PYTHON,SQL",BACHELOR
886,Data Analyst,,"
            F/T digital marketing analyst needed to use audience <b>data</b> to monitor consumer behavior &amp; conduct analysis of digital efforts' effectiveness.   BACHELOR  's &amp; 2-5 yrs in digital analytics, marketing analytics, or customer analytics req. Remote during pandemic.
        ","Santa Clara, CA",CA,,Remote - During Pandemic Job,,BACHELOR
887,Data Analyst,,"
            Remote-during-pandemic position for a senior digital marketing analyst. Will extract and analyze <b>data</b>, monitor and optimize sale performance, identify opportunities and risks, and present reports and recommendations. Need a BA/BS and five years' exp.
        ","Santa Monica, CA",CA,,Remote - During Pandemic Job,,
888,Data Analyst,,"
            Responsible for conducting quantitative and <b>data</b>-driven financial analyses and models for the company's mortgage servicing portfolio. Must have a   BACHELOR  's degree and 5+ years' related experience.
        ","Lake Forest, CA",CA,,Option for Remote Job,,BACHELOR
889,Data Analyst,,"
            The audit analyst will initiate supplier audits, analyze contracts, collect and analyze <b>data</b>, and perform operations support activities. Must have two to four years' experience in project management, audit, and/or analytic roles. Work-from-home position.
        ",US National,US National,,100% Remote Job,,
890,Data Analyst,,"
            Identify opportunities and risks for growth, and present and execute recommendations for improving the overall health of retail performance marketing network. Must have 2-3+ years of experience in a <b>data</b> analytical role; BA/BS preferred. WFH to start.
        ","Santa Monica, CA",CA,,Remote - During Pandemic Job,,
891,Data Analyst,,"
            Full-time, temporary and remote candidate will oversee a team of <b>data</b> scientists and analysts, conduct econometric and other STATISTICSal analyses, and develop agent-  BACHELOR  d modeling systems. Must have experience or education in STATISTICSs or Economics.
        ",US National,US National,,100% Remote Job,,BACHELOR
892,Data Analyst,,"
            Lead the analysis of high-volume customer <b>data</b> to provide valuable insights that can optimize the customer experience. Requires full-cycle Scrum familiarity, API analytics skills, and 3+ yrs' experience. Work from home full-time.
        ",CA,CA,,100% Remote Job,,
893,Data Analyst,,"
            Remote position will leverage <b>data</b> submitted by providers via the prior authorization process, analyze simulate impact, maintain/update models to monitor/track outcome, and design/conduct evaluation analysis.  BACHELOR  degree required and five years of exp.
        ",US National,US National,,100% Remote Job,,BACHELOR
894,Data Analyst,,"
            Full-time position. Will conduct research, implement models, review <b>data</b>, identify risk factors, build tool package and provide expertise.   BACHELOR  's degree and 5+ years' related experience required. Partially remote.
        ","Charlotte, NC, Morristown, NJ","NC,NJ",,Partial Remote Job,,BACHELOR
895,Data Analyst,,"
            Remote contract position will help shape product marketing strategy through <b>data</b>/analytics, study all of marketing channels, make strategic recommendations, analyze customer behavior, product usage/email marketing.  BACHELOR  degree required and five years exp.
        ","San Francisco, CA",CA,,Option for Remote Job,,BACHELOR
896,Data Analyst,,"
            Full-time job, remote option. Needs three years' work related experience and a   BACHELOR  's degree. Bring ideas and insights that focus on delivering customer value, identify trends and drivers, poem exploratory <b>data</b> analysis, drive marketing efficiency.
        ",US National,US National,,Option for Remote Job,,BACHELOR
897,Data Analyst,,"
            Remote-during-pandemic role for a senior   BACHELOR  ness intelligence analyst. Will leverage <b>data</b> to solve   BACHELOR  ness problems, design reports and VISUALIZATIONs, provide insights, perform analysis, and define/conduct research. Need a BA/BS and five years of exp.
        ","Los Angeles, CA, New York, NY, San Francisco, CA, Irvine, CA","CA,NY",,Remote - During Pandemic Job,,BACHELOR
898,Data Analyst,,"
            Full-time, remote position. Responsibilities include reviewing &amp; coding vendor invoices, communicating &amp; managing vendor aging reports, handling the timely &amp; accurate processing of disbursements, and performing <b>data</b> entry. Associate's degree required.
        ",US National,US National,,100% Remote Job,,
899,Data Analyst,,"
            Identify and analyze problems while working in a fast-paced environment. The ideal candidate must be able to manage we  BACHELOR  alytics platforms and be experienced with Google Search Console and manipulating large <b>data</b> sets. Remote US-  BACHELOR  d position.
        ",US National,US National,,100% Remote Job,,BACHELOR
900,Data Analyst,,"
            The financial analyst will help maintain the cost accounting systems, analyze <b>data</b>, prepare financial reports, &amp; audit accounting systems. The employee can telework during the COVID response. Must have two years' experience &amp; a relevant   BACHELOR  's degree.
        ","Salt Lake City, UT",UT,,Remote - During Pandemic Job,,BACHELOR
901,Data Analyst,,"
            Full-time remote role. He/she will assist with customer needs, develop and monitor key performance indicators, and resolve compensation and agent performance issues. 3+ years' proven relevant experience required.   BACHELOR  's degree preferred. 
        ",US National,US National,,100% Remote Job,,BACHELOR
902,Data Analyst,,"
            Lead large-scale financial analysis, modeling, and forecasting to support   BACHELOR  ness growth. Requires MASTER Office proficiency, presentation skills, a   BACHELOR  's degree, and 9+ yrs' experience. Full-time, remote optional role with some required travel. 
        ",US National,US National,,Option for Remote Job,,"BACHELOR,MASTER"
903,Data Analyst,,"
            Oversee decisions and analytics in the FP&amp;A area in the healthcare tech space. Lead the finance team in reaching performance objectives and support strategies and investments. Must have 7 yrs of experience and a   BACHELOR  's degree. Remote with some travel.
        ",US National,US National,,Option for Remote Job,,BACHELOR
904,Data Analyst,,"
            Full-time, remote position. Duties include assisting with the implementation of custom clinical research studies, conducting descriptive STATISTICSal analysis, writing analytics programs, documenting study processes &amp; changes, and generating graphs.
        ","Eden Prairie, MN, or US National",MN,,100% Remote Job,,
905,Data Analyst,,"
            Full-time position with the option of remote work. Duties include operating &amp; maintaining credit risk models for mortgage loan portfolios, building algorithmic solutions, performing scenario analysis, and assessing &amp; monitoring performance &amp; risks.
        ","Chicago, IL",IL,,Option for Remote Job,,
906,Data Analyst,,"
            Full-time, remote position. Responsibilities include identifying   BACHELOR  ness opportunities, clearly defining problems, providing primary analytics support for marketing, and managing cross-functional strategic projects.   BACHELOR  's degree required.
        ",US National,US National,,100% Remote Job,,BACHELOR
907,Data Analyst,,"
            Full-time role with remote option. He/she will need extensive experience with intelligence analysis, technical collections, signals intelligence, and technical exploitation. Candidates must have DOD TS/SCI clearance within the last two years. 
        ","Charlottesville, VA, Washington, DC","DC,VA",,Option for Remote Job,,
908,Data Analyst,,"
            Contracted project manager will work with   BACHELOR  ness managers to develop and automate   BACHELOR  ness processes, organize multiple deployments, and perform implementation readiness reviews. Must have seven plus years of application development experience.
        ","San Francisco, CA",CA,,Freelance Job,,BACHELOR
909,Data Analyst,,"
            Remote position will develop new financial models to support new product design, run/maintain complex revenue calculation models, monitor policy revenue/profitability trends, and review contracts/rates.  BACHELOR  degree required and five years of experience. 
        ",US National,US National,,100% Remote Job,,BACHELOR
910,Data Analyst,,"
            Ideate and create processes that fulfill   BACHELOR  ness needs across software packages. Must have a   BACHELOR  's degree and experience with VISUALIZATION, Google Analytics, Salesforce, and eCommerce platforms. Full-time, remote position.
        ","FL, PA, NC, NY, MA","NC,PA,MA,NY,FL",,100% Remote Job,,BACHELOR
911,Data Analyst,,"
            F/T remote analytics manager needed to provide analytics-  BACHELOR  d strategic insights and directions to aid in the development of media and communications initiatives. Quantitative educational background and 3-5 years experience performing analytics req.
        ","New York, NY",NY,,Option for Remote Job,,BACHELOR
912,Data Analyst,,"
            Long-term, temporary contract. Will analyze complex situations, document processes, maintain relationships and create software integrations.   BACHELOR  's degree and 5+ years' related professional experience required.
        ","Rockville, MD",MD,,Freelance Job,,BACHELOR
913,Data Analyst,,"
            Remote opportunity for a pricing analyst. Will coordinate and lead cross-functional teams to execute pricing strategies, provide analysis and financial modeling, set market prices, develop tools, and implement improvements. Need BS/BS and two years' exp.
        ",US National,US National,,100% Remote Job,,
914,Data Analyst,,"
            Full-time remote role will be responsible for developing analytical tools and VISUALIZATIONs, conduct analyses, and develop strategies and analytic models.   BACHELOR  's degree and 2+ years' consulting, engineering, or financial analysis experience required. 
        ","Richmond, VA",VA,,100% Remote Job,,BACHELOR
915,Data Analyst,,"
            Be responsible for providing functional and technical enterprise support for the SuccessFactors platform for a contract research organization. Must have a   BACHELOR  's degree and 5 years of experience. Full-time, remote position.
        ","Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United Kingdom, or US National",US National,,100% Remote Job,,BACHELOR
916,Data Analyst,,"
            Remote job for candidate who will drive product impact by proposing and conducting quantitative research into key user behaviors and   BACHELOR  ness trends and help set activation, growth, and retention targets. Five years' B2  BACHELOR  aS exp. and BA/BS degree req.
        ",US National,US National,,100% Remote Job,,BACHELOR
917,Data Analyst,,"
            Responsible for consulting with end users across multiple departments, translate user requirements into reports/VISUALIZATIONs, and own all project activities. Must have a   BACHELOR  's degree and 1-3 years' professional IT experience. Option to work remotely.
        ","Cincinnati, OH",OH,,Option for Remote Job,,BACHELOR
918,Data Analyst,,"
            Senior payor performance analyst will develop &amp; maintain payor monitoring VISUALIZATIONs, conduct payor audits &amp; identify process improvement opportunities. Five years exp. in managed care revenue plus a   BACHELOR  's degree req'd. Remote option.
        ","Fort Wayne, IN",IN,,Option for Remote Job,,BACHELOR
919,Data Analyst,,"
            Full-time, remote opportunity. Responsibilities include designing &amp; building VISUALIZATIONs &amp; analyses, preparing monthly &amp; quarterly reporting, presenting findings, and providing peer training, coaching, &amp; collaboration.   BACHELOR  's degree required.
        ",US National,US National,,100% Remote Job,,BACHELOR
920,Data Analyst,,"
            Full-time position. Will support revenue, build relationships, seek opportunities, deliver key results and perform analyses.   BACHELOR  's degree and 2+ years' related experience required. Telecommute option. 
        ",US National,US National,,Option for Remote Job,,BACHELOR
921,Data Analyst,,"
            Telecommuting role for a senior sales analyst. Will serve as a sales resource to clients, identify and develop solutions to meet customer needs and requirements, and assist IT in implementing new methodology in reports. Need a degree and two years of exp.
        ","Schaumburg, IL",IL,,100% Remote Job,,
922,Data Analyst,,"
            Digital Marketing Senior Analyst is needed for a remote role. He/She will develop, manage, and analyze multi-million dollar marketing campaigns. Must possess excellent communication skills. BA/BS degree and prior related experience required.

        ","Boston, MA, New York City, NY","NY,MA",,Option for Remote Job,,
923,Data Analyst,,"
            Contribute to healthcare analytics to meet quality, cost, and service objectives at a healthcare company. Must have a   BACHELOR  's degree and 5 years of analytical/reporting experience. Full-time, remote position.
        ",US National,US National,,100% Remote Job,,BACHELOR
924,Data Analyst,,"
            Translate BI into solutions that empower   BACHELOR  ness teams with actionable information resulting in improved performance, decision making, and customer offerings. Must have a   BACHELOR  's degree and 1 year of experience. Full-time, remote position.
        ","TX, MD, Washington, DC, NC, GA","NC,GA,DC,TX,MD",,100% Remote Job,,BACHELOR
925,Data Analyst,,"
            Full-time job, remote during pandemic. Needs a   BACHELOR  's degree and  five years' work related experience. support payroll operations and tax teams, collaborate with partners, collect requirements, requires expertise in complex payroll and timekeeping.
        ","Secaucus, NJ",NJ,,Remote - During Pandemic Job,,BACHELOR
926,Data Analyst,,"
            Be responsible for developing client specific Total Cost of Ownership (TCO) Analysis as well as a tool to estimate TCO from company's   BACHELOR   offerings. Must have 3-7 years of experience including experience in Hybrid IT and managed services. WFH.
        ",US National,US National,,Option for Remote Job,,BACHELOR
927,Data Analyst,,"
            Full-time, remote position. Responsibilities include managing &amp; contributing to the delivery of reporting &amp; analytics solutions, identifying   BACHELOR  ness needs &amp; technical requirements, leading &amp; developing a team of analysts, and setting &amp; achieving goals.
        ","Canada, or US National",US National,,100% Remote Job,,BACHELOR
928,Data Analyst,,"
            Conduct marketing research and reporting to facilitate successful product planning. Requires MASTER Office proficiency, a   BACHELOR  's degree, and related experience. Full-time, partly remote position with some possible travel. 
        ","Alpharetta, GA, GA",GA,,Partial Remote Job,,"BACHELOR,MASTER"
929,Data Analyst,,"
            Leverage analytical and creative methods to reach untapped audience segments and unlock new areas of growth to build an enduring   BACHELOR  d. Must have 1+ years of work experience in analytics. Full-time, remote position.
        ","Columbus, OH, or US National",OH,,Option for Remote Job,,BACHELOR
930,Data Analyst,,"
            Candidate will build   BACHELOR  ness proformas and drafting written proposals, evaluate and develop financial models, and perform financial forecasting, reporting, and operational metrics tracking.   BACHELOR  's degree and three years' FP&amp;A exp. req. Remote job.
        ",US National,US National,,100% Remote Job,,BACHELOR
931,Data Analyst,,"
            Senior   BACHELOR  ness systems analyst needed for full-time role with the option to work remotely. Responsible for working closely with   BACHELOR  ness and technical teams. Must have seven or more years of finance systems experience, and a related   BACHELOR  's degree.
        ",US National,US National,,100% Remote Job,,BACHELOR
932,Data Analyst,,"
            Remote position for a marketing analyst. Will drive campaign planning processes, measure the efficacy of spend across channels, help determine campaign goals, develop KPIs, perform analyses, develop insights, and create reports. Need previous experience. 
        ",US National,US National,,100% Remote Job,,
933,Data Analyst,,"
            Full-time, remote position. Duties include managing client relationships, determining clients' needs, drafting proposals, budgets, &amp; timelines, planning &amp; directing audits, and creating key performance indicators.   BACHELOR  's or MBA preferred. 
        ",US National,US National,,100% Remote Job,,BACHELOR
934,Data Analyst,,"
            Partial remote position will conduct software assessments, review development/implementation of security plans/products, process improvements, identify/report on risks, and provide guidance for mitigation.  BACHELOR  degree required and three years of exp. 
        ","Charlotte, NC, Corning, NY","NC,NY",,Partial Remote Job,,BACHELOR
935,Data Analyst,,"
            F/T marketing analyst needed to collaborate with stakeholders to determine important analytics needed to drive growth.   BACHELOR  's degree, 2-4 years in marketing analytics or another quantitative role, and SQL and Excel fluency required. Remote option.
        ","New York, NY",NY,,Option for Remote Job,SQL,BACHELOR
936,Data Analyst,,"
            Full-time job, remote during pandemic. Needs   BACHELOR  s' degree and three-five years' work related experience. Develop deep understanding of the customer experience, derive insights through analysis and will translate into actionable recommendations. 
        ","Chicago, IL",IL,,Remote - During Pandemic Job,,BACHELOR
937,Data Analyst,,"
            Responsible for monthly reporting templates/VISUALIZATIONs, STATISTICSal analysis, &amp; performance improvement strategies. Requires an accredited   BACHELOR  's degree in a relevant field. At least 1 year of web-  BACHELOR  d analytics experience preferred. 100% remote.
        ",US National,US National,,100% Remote Job,,BACHELOR
938,Data Analyst,,"
            Option for telecommuting. Candidate will help drive strategies for user acquisition and retention, oversee projects in the revenue operations group, and provide   BACHELOR  ness partners with insights. Must have four plus years of analytical experience.
        ","Austin, TX",TX,,Option for Remote Job,,BACHELOR
939,Data Analyst,,"
            Lead the monitoring and optimization of marketing metrics. Prepare insightful reports that support   BACHELOR  ness strategy. Requires strong analytical skills, SQL knowledge, and 8+ yrs' experience. Work from home full-time with benefits. 
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
